date,product,units_sold,price,stock_level
2024-08-24,Wireless Earbuds,50,1467.82,1150
2024-08-25,Wireless Earbuds,40,1440.51,1110
2024-08-26,Wireless Earbuds,39,1489.52,1071
2024-08-27,Wireless Earbuds,42,1525.36,1029
2024-08-28,Wireless Earbuds,40,1532.79,989
2024-08-29,Wireless Earbuds,32,1510.06,957
2024-08-30,Wireless Earbuds,37,1497.5,920
2024-08-31,Wireless Earbuds,41,1535.65,879
2024-09-01,Wireless Earbuds,48,1488.44,831
2024-09-02,Wireless Earbuds,55,1191.82,776
2024-09-03,Wireless Earbuds,56,1252.83,720
2024-09-04,Wireless Earbuds,41,1349.69,679
2024-09-05,Wireless Earbuds,63,1178.73,616
2024-09-06,Wireless Earbuds,33,1515.28,583
2024-09-07,Wireless Earbuds,45,1502.5,1538
2024-09-08,Wireless Earbuds,48,1505.7,1490
2024-09-09,Wireless Earbuds,48,1206.54,1442
2024-09-10,Wireless Earbuds,50,1237.95,1392
2024-09-11,Wireless Earbuds,47,1490.75,1345
2024-09-12,Wireless Earbuds,27,1528.03,1318
2024-09-13,Wireless Earbuds,41,1503.88,1277
2024-09-14,Wireless Earbuds,40,1522.78,1237
2024-09-15,Wireless Earbuds,41,1524.72,1196
2024-09-16,Wireless Earbuds,34,1465.02,1162
2024-09-17,Wireless Earbuds,42,1503.27,1120
2024-09-18,Wireless Earbuds,42,1503.75,1078
2024-09-19,Wireless Earbuds,33,1512.69,1045
2024-09-20,Wireless Earbuds,53,1215.46,992
2024-09-21,Wireless Earbuds,58,1315.18,1934
2024-09-22,Wireless Earbuds,42,1518.95,1892
2024-09-23,Wireless Earbuds,28,1496.61,1864
2024-09-24,Wireless Earbuds,34,1459.35,1830
2024-09-25,Wireless Earbuds,37,1471.85,1793
2024-09-26,Wireless Earbuds,43,1488.32,1750
2024-09-27,Wireless Earbuds,33,1492.84,1717
2024-09-28,Wireless Earbuds,32,1524.19,1685
2024-09-29,Wireless Earbuds,40,1506.13,1645
2024-09-30,Wireless Earbuds,35,1501.16,1610
2024-10-01,Wireless Earbuds,55,1499.66,1555
2024-10-02,Wireless Earbuds,48,1468.32,1507
2024-10-03,Wireless Earbuds,60,1309.59,1447
2024-10-04,Wireless Earbuds,59,1252.58,1388
2024-10-05,Wireless Earbuds,52,1471.22,2336
2024-10-06,Wireless Earbuds,50,1518.04,2286
2024-10-07,Wireless Earbuds,49,1468.55,2237
2024-10-08,Wireless Earbuds,60,1558.86,2177
2024-10-09,Wireless Earbuds,35,1469.33,2142
2024-10-10,Wireless Earbuds,45,1474.63,2097
2024-10-11,Wireless Earbuds,52,1494.78,2045
2024-10-12,Wireless Earbuds,47,1494.24,1998
2024-10-13,Wireless Earbuds,53,1484.42,1945
2024-10-14,Wireless Earbuds,51,1502.91,1894
2024-10-15,Wireless Earbuds,42,1463.48,1852
2024-10-16,Wireless Earbuds,37,1562.81,1815
2024-10-17,Wireless Earbuds,53,1471.93,1762
2024-10-18,Wireless Earbuds,46,1494.3,1716
2024-10-19,Wireless Earbuds,49,1512.37,2667
2024-10-20,Wireless Earbuds,56,1460.69,2611
2024-10-21,Wireless Earbuds,45,1503.8,2566
2024-10-22,Wireless Earbuds,45,1538.15,2521
2024-10-23,Wireless Earbuds,47,1532.17,2474
2024-10-24,Wireless Earbuds,38,1504.49,2436
2024-10-25,Wireless Earbuds,54,1548.49,2382
2024-10-26,Wireless Earbuds,62,1487.51,2320
2024-10-27,Wireless Earbuds,45,1541.13,2275
2024-10-28,Wireless Earbuds,47,1487.17,2228
2024-10-29,Wireless Earbuds,54,1509.12,2174
2024-10-30,Wireless Earbuds,33,1518.31,2141
2024-10-31,Wireless Earbuds,40,1473.72,2101
2024-11-01,Wireless Earbuds,58,1488.98,2043
2024-11-02,Wireless Earbuds,57,1499.92,2986
2024-11-03,Wireless Earbuds,61,1529.06,2925
2024-11-04,Wireless Earbuds,48,1494.37,2877
2024-11-05,Wireless Earbuds,65,1329.97,2812
2024-11-06,Wireless Earbuds,97,1137.01,2715
2024-11-07,Wireless Earbuds,75,1148.3,2640
2024-11-08,Wireless Earbuds,72,1329.2,2568
2024-11-09,Wireless Earbuds,57,1477.14,2511
2024-11-10,Wireless Earbuds,54,1494.12,2457
2024-11-11,Wireless Earbuds,45,1565.29,2412
2024-11-12,Wireless Earbuds,49,1532.69,2363
2024-11-13,Wireless Earbuds,68,1455.02,2295
2024-11-14,Wireless Earbuds,65,1466.12,2230
2024-11-15,Wireless Earbuds,52,1463.88,2178
2024-11-16,Wireless Earbuds,50,1550.83,3128
2024-11-17,Wireless Earbuds,61,1522.3,3067
2024-11-18,Wireless Earbuds,44,1494.99,3023
2024-11-19,Wireless Earbuds,64,1302.85,2959
2024-11-20,Wireless Earbuds,78,1207.32,2881
2024-11-21,Wireless Earbuds,73,1244.35,2808
2024-11-22,Wireless Earbuds,65,1320.0,2743
2024-11-23,Wireless Earbuds,65,1561.75,2678
2024-11-24,Wireless Earbuds,55,1476.12,2623
2024-11-25,Wireless Earbuds,55,1506.88,2568
2024-11-26,Wireless Earbuds,54,1526.8,2514
2024-11-27,Wireless Earbuds,55,1484.86,2459
2024-11-28,Wireless Earbuds,53,1490.24,2406
2024-11-29,Wireless Earbuds,61,1503.57,2345
2024-11-30,Wireless Earbuds,62,1491.9,3283
2024-12-01,Wireless Earbuds,55,1487.85,3228
2024-12-02,Wireless Earbuds,44,1550.79,3184
2024-12-03,Wireless Earbuds,57,1489.15,3127
2024-12-04,Wireless Earbuds,65,1488.97,3062
2024-12-05,Wireless Earbuds,60,1550.93,3002
2024-12-06,Wireless Earbuds,56,1551.28,2946
2024-12-07,Wireless Earbuds,67,1490.11,2879
2024-12-08,Wireless Earbuds,56,1528.67,2823
2024-12-09,Wireless Earbuds,64,1493.28,2759
2024-12-10,Wireless Earbuds,58,1553.58,2701
2024-12-11,Wireless Earbuds,50,1496.99,2651
2024-12-12,Wireless Earbuds,58,1544.31,2593
2024-12-13,Wireless Earbuds,60,1468.61,2533
2024-12-14,Wireless Earbuds,69,1478.88,3464
2024-12-15,Wireless Earbuds,51,1517.25,3413
2024-12-16,Wireless Earbuds,60,1501.16,3353
2024-12-17,Wireless Earbuds,58,1437.14,3295
2024-12-18,Wireless Earbuds,70,1451.58,3225
2024-12-19,Wireless Earbuds,52,1524.38,3173
2024-12-20,Wireless Earbuds,57,1531.03,3116
2024-12-21,Wireless Earbuds,60,1507.1,3056
2024-12-22,Wireless Earbuds,69,1494.43,2987
2024-12-23,Wireless Earbuds,59,1467.27,2928
2024-12-24,Wireless Earbuds,54,1476.71,2874
2024-12-25,Wireless Earbuds,56,1524.31,2818
2024-12-26,Wireless Earbuds,61,1524.69,2757
2024-12-27,Wireless Earbuds,52,1568.78,2705
2024-12-28,Wireless Earbuds,60,1547.1,3645
2024-12-29,Wireless Earbuds,84,1241.58,3561
2024-12-30,Wireless Earbuds,82,1260.86,3479
