date,product,units_sold,price,stock_level
2009-12-01,ASSORTED COLOUR BIRD ORNAMENT,1272,1.51,824
2009-12-02,ASSORTED COLOUR BIRD ORNAMENT,121,2.09,703
2009-12-03,ASSORTED COLOUR BIRD ORNAMENT,312,1.57,391
2009-12-04,ASSORTED COLOUR BIRD ORNAMENT,258,1.54,133
2009-12-05,ASSORTED COLOUR BIRD ORNAMENT,24,1.69,109
2009-12-06,ASSORTED COLOUR BIRD ORNAMENT,36,1.69,73
2009-12-07,ASSORTED COLOUR BIRD ORNAMENT,104,1.69,0
2009-12-08,ASSORTED COLOUR BIRD ORNAMENT,218,1.69,0
2009-12-09,ASSORTED COLOUR BIRD ORNAMENT,26,3.56,0
2009-12-10,ASSORTED COLOUR BIRD ORNAMENT,361,1.76,0
2009-12-11,ASSORTED COLOUR BIRD ORNAMENT,208,1.51,0
2009-12-12,ASSORTED COLOUR BIRD ORNAMENT,0,1.51,0
2009-12-13,ASSORTED COLOUR BIRD ORNAMENT,296,1.56,0
2009-12-14,ASSORTED COLOUR BIRD ORNAMENT,527,1.78,0
2009-12-15,ASSORTED COLOUR BIRD ORNAMENT,377,1.49,1000
2009-12-16,ASSORTED COLOUR BIRD ORNAMENT,264,1.69,736
2009-12-17,ASSORTED COLOUR BIRD ORNAMENT,88,1.69,648
2009-12-18,ASSORTED COLOUR BIRD ORNAMENT,60,2.1,588
2009-12-19,ASSORTED COLOUR BIRD ORNAMENT,0,2.1,588
2009-12-20,ASSORTED COLOUR BIRD ORNAMENT,8,1.69,580
2009-12-21,ASSORTED COLOUR BIRD ORNAMENT,48,1.69,532
2009-12-22,ASSORTED COLOUR BIRD ORNAMENT,2,26.04,530
2009-12-23,ASSORTED COLOUR BIRD ORNAMENT,32,1.69,498
2009-12-24,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,498
2009-12-25,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,498
2009-12-26,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,498
2009-12-27,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,498
2009-12-28,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,498
2009-12-29,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,1820
2009-12-30,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,1820
2009-12-31,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,1820
2010-01-01,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,1820
2010-01-02,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,1820
2010-01-03,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,1820
2010-01-04,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,1820
2010-01-05,ASSORTED COLOUR BIRD ORNAMENT,8,1.69,1812
2010-01-06,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,1812
2010-01-07,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,1812
2010-01-08,ASSORTED COLOUR BIRD ORNAMENT,88,1.69,1724
2010-01-09,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,1724
2010-01-10,ASSORTED COLOUR BIRD ORNAMENT,72,1.69,1652
2010-01-11,ASSORTED COLOUR BIRD ORNAMENT,32,1.69,1620
2010-01-12,ASSORTED COLOUR BIRD ORNAMENT,72,1.69,2024
2010-01-13,ASSORTED COLOUR BIRD ORNAMENT,54,4.33,1970
2010-01-14,ASSORTED COLOUR BIRD ORNAMENT,67,1.69,1903
2010-01-15,ASSORTED COLOUR BIRD ORNAMENT,8,1.69,1895
2010-01-16,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,1895
2010-01-17,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,1895
2010-01-18,ASSORTED COLOUR BIRD ORNAMENT,49,2.18,1846
2010-01-19,ASSORTED COLOUR BIRD ORNAMENT,168,1.46,1678
2010-01-20,ASSORTED COLOUR BIRD ORNAMENT,56,1.69,1622
2010-01-21,ASSORTED COLOUR BIRD ORNAMENT,24,1.69,1598
2010-01-22,ASSORTED COLOUR BIRD ORNAMENT,344,1.47,1254
2010-01-23,ASSORTED COLOUR BIRD ORNAMENT,0,1.47,1254
2010-01-24,ASSORTED COLOUR BIRD ORNAMENT,256,1.54,998
2010-01-25,ASSORTED COLOUR BIRD ORNAMENT,42,2.82,956
2010-01-26,ASSORTED COLOUR BIRD ORNAMENT,32,1.69,2064
2010-01-27,ASSORTED COLOUR BIRD ORNAMENT,72,1.69,1992
2010-01-28,ASSORTED COLOUR BIRD ORNAMENT,32,1.69,1960
2010-01-29,ASSORTED COLOUR BIRD ORNAMENT,33,2.41,1927
2010-01-30,ASSORTED COLOUR BIRD ORNAMENT,0,2.41,1927
2010-01-31,ASSORTED COLOUR BIRD ORNAMENT,0,2.41,1927
2010-02-01,ASSORTED COLOUR BIRD ORNAMENT,60,1.89,1867
2010-02-02,ASSORTED COLOUR BIRD ORNAMENT,80,1.69,1787
2010-02-03,ASSORTED COLOUR BIRD ORNAMENT,48,1.69,1739
2010-02-04,ASSORTED COLOUR BIRD ORNAMENT,46,1.69,1693
2010-02-05,ASSORTED COLOUR BIRD ORNAMENT,8,1.69,1685
2010-02-06,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,1685
2010-02-07,ASSORTED COLOUR BIRD ORNAMENT,32,1.69,1653
2010-02-08,ASSORTED COLOUR BIRD ORNAMENT,32,1.69,1621
2010-02-09,ASSORTED COLOUR BIRD ORNAMENT,56,1.69,2040
2010-02-10,ASSORTED COLOUR BIRD ORNAMENT,16,1.69,2024
2010-02-11,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,2024
2010-02-12,ASSORTED COLOUR BIRD ORNAMENT,64,1.69,1960
2010-02-13,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,1960
2010-02-14,ASSORTED COLOUR BIRD ORNAMENT,344,1.47,1616
2010-02-15,ASSORTED COLOUR BIRD ORNAMENT,48,1.69,1568
2010-02-16,ASSORTED COLOUR BIRD ORNAMENT,108,1.69,1460
2010-02-17,ASSORTED COLOUR BIRD ORNAMENT,16,1.69,1444
2010-02-18,ASSORTED COLOUR BIRD ORNAMENT,407,1.5,1037
2010-02-19,ASSORTED COLOUR BIRD ORNAMENT,8,1.69,1029
2010-02-20,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,1029
2010-02-21,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,1029
2010-02-22,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,1029
2010-02-23,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,2096
2010-02-24,ASSORTED COLOUR BIRD ORNAMENT,96,1.69,2000
2010-02-25,ASSORTED COLOUR BIRD ORNAMENT,88,1.83,1912
2010-02-26,ASSORTED COLOUR BIRD ORNAMENT,73,1.85,1839
2010-02-27,ASSORTED COLOUR BIRD ORNAMENT,0,1.85,1839
2010-02-28,ASSORTED COLOUR BIRD ORNAMENT,37,1.69,1802
2010-03-01,ASSORTED COLOUR BIRD ORNAMENT,48,1.69,1754
2010-03-02,ASSORTED COLOUR BIRD ORNAMENT,162,1.45,1592
2010-03-03,ASSORTED COLOUR BIRD ORNAMENT,56,1.69,1536
2010-03-04,ASSORTED COLOUR BIRD ORNAMENT,216,1.69,1320
2010-03-05,ASSORTED COLOUR BIRD ORNAMENT,194,1.49,1126
2010-03-06,ASSORTED COLOUR BIRD ORNAMENT,0,1.49,1126
2010-03-07,ASSORTED COLOUR BIRD ORNAMENT,59,1.66,1067
2010-03-08,ASSORTED COLOUR BIRD ORNAMENT,177,1.69,890
2010-03-09,ASSORTED COLOUR BIRD ORNAMENT,48,1.69,2048
2010-03-10,ASSORTED COLOUR BIRD ORNAMENT,265,1.55,1783
2010-03-11,ASSORTED COLOUR BIRD ORNAMENT,352,1.47,1431
2010-03-12,ASSORTED COLOUR BIRD ORNAMENT,35,1.98,1396
2010-03-13,ASSORTED COLOUR BIRD ORNAMENT,0,1.98,1396
2010-03-14,ASSORTED COLOUR BIRD ORNAMENT,40,1.69,1356
2010-03-15,ASSORTED COLOUR BIRD ORNAMENT,176,2.16,1180
2010-03-16,ASSORTED COLOUR BIRD ORNAMENT,123,1.69,1057
2010-03-17,ASSORTED COLOUR BIRD ORNAMENT,72,1.69,985
2010-03-18,ASSORTED COLOUR BIRD ORNAMENT,92,1.69,893
2010-03-19,ASSORTED COLOUR BIRD ORNAMENT,24,1.69,869
2010-03-20,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,869
2010-03-21,ASSORTED COLOUR BIRD ORNAMENT,64,1.69,805
2010-03-22,ASSORTED COLOUR BIRD ORNAMENT,40,1.99,765
2010-03-23,ASSORTED COLOUR BIRD ORNAMENT,240,1.53,1856
2010-03-24,ASSORTED COLOUR BIRD ORNAMENT,248,0.69,1608
2010-03-25,ASSORTED COLOUR BIRD ORNAMENT,34,1.69,1574
2010-03-26,ASSORTED COLOUR BIRD ORNAMENT,176,1.54,1398
2010-03-27,ASSORTED COLOUR BIRD ORNAMENT,0,1.54,1398
2010-03-28,ASSORTED COLOUR BIRD ORNAMENT,102,1.69,1296
2010-03-29,ASSORTED COLOUR BIRD ORNAMENT,34,1.63,1262
2010-03-30,ASSORTED COLOUR BIRD ORNAMENT,128,1.69,1134
2010-03-31,ASSORTED COLOUR BIRD ORNAMENT,128,1.69,1006
2010-04-01,ASSORTED COLOUR BIRD ORNAMENT,41,1.69,965
2010-04-02,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,965
2010-04-03,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,965
2010-04-04,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,965
2010-04-05,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,965
2010-04-06,ASSORTED COLOUR BIRD ORNAMENT,40,1.69,2056
2010-04-07,ASSORTED COLOUR BIRD ORNAMENT,240,1.69,1816
2010-04-08,ASSORTED COLOUR BIRD ORNAMENT,256,1.54,1560
2010-04-09,ASSORTED COLOUR BIRD ORNAMENT,8,25.49,1552
2010-04-10,ASSORTED COLOUR BIRD ORNAMENT,0,25.49,1552
2010-04-11,ASSORTED COLOUR BIRD ORNAMENT,192,1.49,1360
2010-04-12,ASSORTED COLOUR BIRD ORNAMENT,192,1.49,1168
2010-04-13,ASSORTED COLOUR BIRD ORNAMENT,96,1.69,1072
2010-04-14,ASSORTED COLOUR BIRD ORNAMENT,58,1.69,1014
2010-04-15,ASSORTED COLOUR BIRD ORNAMENT,240,1.53,774
2010-04-16,ASSORTED COLOUR BIRD ORNAMENT,43,1.69,731
2010-04-17,ASSORTED COLOUR BIRD ORNAMENT,0,1.69,731
2010-04-18,ASSORTED COLOUR BIRD ORNAMENT,24,1.69,707
2010-04-19,ASSORTED COLOUR BIRD ORNAMENT,144,1.77,563
2010-04-20,ASSORTED COLOUR BIRD ORNAMENT,160,1.69,1825
